Date,Province,Commodity,Price
2020-01-01,SULAWESI BARAT,"Chili (bird's eye, green)",22961.11333333333
2020-01-01,SULAWESI BARAT,"Chili (bird's eye, red)",34162.5
2020-01-01,SULAWESI BARAT,Chili (red),28891.666666666668
2020-01-01,SULAWESI BARAT,"Chili (red, curly)",29237.5
2020-01-01,SULAWESI BARAT,"Chili (red, large)",29520.8325
2020-01-01,SULAWESI SELATAN,Chili (bird's eye),41522.917
2020-01-01,SULAWESI SELATAN,"Chili (bird's eye, red)",41522.917
2020-01-01,SULAWESI SELATAN,Chili (red),28752.314444444448
2020-01-01,SULAWESI SELATAN,"Chili (red, curly)",27304.166000000005
2020-01-01,SULAWESI SELATAN,"Chili (red, large)",29268.517777777783
2020-01-01,SULAWESI TENGAH,Chili (bird's eye),51825.0
2020-01-01,SULAWESI TENGAH,"Chili (bird's eye, green)",48500.0
2020-01-01,SULAWESI TENGAH,"Chili (bird's eye, red)",55150.0
2020-01-01,SULAWESI TENGAH,Chili (red),21825.0
2020-01-01,SULAWESI TENGAH,"Chili (red, curly)",21241.67
2020-01-01,SULAWESI TENGAH,"Chili (red, large)",45000.0
2020-01-01,SULAWESI TENGGARA,Chili (bird's eye),76370.6875
2020-01-01,SULAWESI TENGGARA,"Chili (bird's eye, green)",66895.8325
2020-01-01,SULAWESI TENGGARA,"Chili (bird's eye, red)",86129.1675
2020-01-01,SULAWESI TENGGARA,Chili (red),38020.835
2020-01-01,SULAWESI TENGGARA,"Chili (red, curly)",33833.335
2020-01-01,SULAWESI TENGGARA,"Chili (red, large)",38874.9975
2020-01-01,SULAWESI UTARA,Chili (bird's eye),43581.895000000004
2020-01-01,SULAWESI UTARA,"Chili (bird's eye, green)",32637.93
2020-01-01,SULAWESI UTARA,"Chili (bird's eye, red)",54525.86
2020-01-01,SULAWESI UTARA,Chili (red),21068.97
2020-01-01,SULAWESI UTARA,"Chili (red, curly)",22137.93
2020-01-01,SUMATERA BARAT,Chili (bird's eye),41237.067500000005
2020-01-01,SUMATERA BARAT,"Chili (bird's eye, green)",41512.5
2020-01-01,SUMATERA BARAT,Chili (red),43441.665
2020-01-01,SUMATERA BARAT,"Chili (red, curly)",43441.665
2020-01-01,SUMATERA SELATAN,Chili (bird's eye),73333.33499999999
2020-01-01,SUMATERA SELATAN,"Chili (bird's eye, green)",56194.443333333336
2020-01-01,SUMATERA SELATAN,"Chili (bird's eye, red)",64838.88999999999
2020-01-01,SUMATERA SELATAN,Chili (red),56002.87333333333
2020-01-01,SUMATERA SELATAN,"Chili (red, curly)",58016.666666666664
2020-01-01,SUMATERA SELATAN,"Chili (red, large)",53877.77666666667
2020-01-01,SUMATERA UTARA,Chili (bird's eye),36581.8975
2020-01-01,SUMATERA UTARA,"Chili (bird's eye, green)",36651.667
2020-01-01,SUMATERA UTARA,"Chili (bird's eye, red)",36112.4975
2020-01-01,SUMATERA UTARA,Chili (red),32320.689000000002
2020-01-01,SUMATERA UTARA,"Chili (red, curly)",32374.24181818182
2020-02-01,,Chili (bird's eye),67821.0
2020-02-01,,Chili (red),71312.0
